2024-06-28 13:37:56,777 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Configure stats pid to 80272
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Loading settings from /Users/sanskritiakhoury/.config/wandb/settings
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Loading settings from /Users/sanskritiakhoury/Desktop/machine learning/Optimizers_Regularization/wandb/settings
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'silent': 'True'}
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] [34m[1mwandb[0m: Logging into wandb.ai. (Learn how to deploy a W&B server locally: https://wandb.me/wandb-server)
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] [34m[1mwandb[0m: You can find your API key in your browser here: https://wandb.ai/authorize
2024-06-28 13:37:56,778 ERROR   MainThread:80272 [wandb_setup.py:_flush():76] [34m[1mwandb[0m: [32m[41mERROR[0m API key must be 40 characters long, yours was 2
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] [34m[1mwandb[0m: Logging into wandb.ai. (Learn how to deploy a W&B server locally: https://wandb.me/wandb-server)
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] [34m[1mwandb[0m: You can find your API key in your browser here: https://wandb.ai/authorize
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] [34m[1mwandb[0m: Appending key for api.wandb.ai to your netrc file: /Users/sanskritiakhoury/.netrc
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_init.py:_log_setup():520] Logging user logs to /Users/sanskritiakhoury/Desktop/machine learning/Optimizers_Regularization/wandb/run-20240628_133756-zn3b9vqn/logs/debug.log
2024-06-28 13:37:56,778 INFO    MainThread:80272 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/sanskritiakhoury/Desktop/machine learning/Optimizers_Regularization/wandb/run-20240628_133756-zn3b9vqn/logs/debug-internal.log
2024-06-28 13:37:56,779 INFO    MainThread:80272 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x28a485070>
2024-06-28 13:37:56,779 INFO    MainThread:80272 [wandb_init.py:init():560] calling init triggers
2024-06-28 13:37:56,779 INFO    MainThread:80272 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'batch_size': 16, 'lr': 0.0001, 'epochs': 40, 'optimizer': 'SGD'}
2024-06-28 13:37:56,779 INFO    MainThread:80272 [wandb_init.py:init():610] starting backend
2024-06-28 13:37:56,779 INFO    MainThread:80272 [wandb_init.py:init():614] setting up manager
2024-06-28 13:37:56,780 INFO    MainThread:80272 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-28 13:37:56,781 INFO    MainThread:80272 [wandb_init.py:init():622] backend started and connected
2024-06-28 13:37:56,785 INFO    MainThread:80272 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2024-06-28 13:37:56,785 INFO    MainThread:80272 [wandb_run.py:_label_probe_notebook():1344] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-06-28 13:37:56,785 INFO    MainThread:80272 [wandb_init.py:init():711] updated telemetry
2024-06-28 13:37:56,785 INFO    MainThread:80272 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-28 13:37:57,135 INFO    MainThread:80272 [wandb_run.py:_on_init():2402] communicating current version
2024-06-28 13:37:57,229 INFO    MainThread:80272 [wandb_run.py:_on_init():2411] got version response 
2024-06-28 13:37:57,230 INFO    MainThread:80272 [wandb_init.py:init():795] starting run threads in backend
2024-06-28 13:37:57,354 INFO    MainThread:80272 [wandb_run.py:_console_start():2380] atexit reg
2024-06-28 13:37:57,354 INFO    MainThread:80272 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-28 13:37:57,354 INFO    MainThread:80272 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-28 13:37:57,354 INFO    MainThread:80272 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-28 13:37:57,355 INFO    MainThread:80272 [wandb_init.py:init():838] run started, returning control to user process
2024-06-28 13:37:57,456 INFO    MainThread:80272 [wandb_run.py:_finish():2109] finishing run sanskriti-akhoury-/optimizers/zn3b9vqn
2024-06-28 13:37:57,456 INFO    MainThread:80272 [jupyter.py:save_history():444] not saving jupyter history
2024-06-28 13:37:57,456 INFO    MainThread:80272 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-06-28 13:37:57,456 INFO    MainThread:80272 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-06-28 13:37:57,456 INFO    MainThread:80272 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-06-28 13:37:57,456 INFO    MainThread:80272 [wandb_run.py:_restore():2332] restore
2024-06-28 13:37:57,456 INFO    MainThread:80272 [wandb_run.py:_restore():2338] restore done
